"Parent ID number","ID number","Short name",Description,"Description format","Scale values","Scale configuration","Rule type (optional)","Rule outcome (optional)","Rule config (optional)","Cross-referenced competency ID numbers","Exported ID (optional)","Is framework",Taxonomy
PARLENET-C1-N1-AC2,PARLENET-C1-N1-AC2-OP3,"🎯 Identifier la temporalité de l'information (information récente ou ancienne)","<div class=""container"">
    <div class=""card border-danger text-center"">
        <div class=""card-body shadow-lg"">
            <p class=""card-text""><br /></p>
        </div>
    </div>
</div>",1,,,,0,null,,714,,
PARLENET-C1-N1,PARLENET-C1-N1-AC3,"🔨 Reconnaître le potentiel conflictuel de certains aspects de la communication numérique","<div class=""container"">
    <div class=""card border-warning text-center"">
        <div class=""card-body shadow-lg"">
            <p class=""card-text""><br /></p>
        </div>
    </div>
</div>",1,,,,0,null,PARLENET-C1-N1,702,,
PARLENET-C1-N1-AC3,PARLENET-C1-N1-AC3-OP1,"🎯 Identifier et estimer les sujets clivant dans une communication","<div class=""container"">
    <div class=""card border-danger text-center"">
        <div class=""card-body shadow-lg"">
            <p class=""card-text""><br /></p>
        </div>
    </div>
</div>",1,,,,0,null,,715,,
PARLENET-C1-N1-AC3,PARLENET-C1-N1-AC3-OP2,"🎯 Repérer et contextualiser les différents rapports de forces","<div class=""container"">
    <div class=""card border-danger text-center"">
        <div class=""card-body shadow-lg"">
            <p class=""card-text""><br /></p>
        </div>
    </div>
</div>",1,,,,0,null,,716,,
PARLENET-C1-N1-AC3,PARLENET-C1-N1-AC3-OP3,"🎯  Identifier les propos dangereux et passibles de blame ou de peines lourdes","<div class=""container"">
    <div class=""card border-danger text-center"">
        <div class=""card-body shadow-lg"">
            <p class=""card-text""><br /></p>
        </div>
    </div>
</div>",1,,,,0,null,,717,,
PARLENET-C1,PARLENET-C1-N2,"⭐⭐ Appliquer les règles de base d’une communication numérique saine",,1,,,,0,null,"PARLENET-C1,PARLENET-C1-N2-AC1,PARLENET-C1-N2-AC2",698,,
PARLENET-C1-N2,PARLENET-C1-N2-AC1,"🔨 Choisir et appliquer consciemment et de manière réfléchie les éléments et codes essentiels","<div class=""container"">
    <div class=""card border-warning text-center"">
        <div class=""card-body shadow-lg"">
            <p class=""card-text""><br /></p>
        </div>
    </div>
</div>",1,,,,0,null,PARLENET-C1-N2,703,,
PARLENET-C1-N2-AC1,PARLENET-C1-N2-AC1-OP1,"🎯 Choisir l’interlocuteur principal et éventuellement secondaire du message selon son besoin","<div class=""container"">
    <div class=""card border-warning text-center"">
        <div class=""card-body shadow-lg"">
            <p class=""card-text""><br /></p>
        </div>
    </div>
</div>",1,,,,0,null,,718,,
PARLENET-C1-N2-AC1,PARLENET-C1-N2-AC1-OP2,"🎯 Choisir le message à véhiculer","<div class=""container"">
    <div class=""card border-danger text-center"">
        <div class=""card-body shadow-lg"">
            <p class=""card-text""><br /></p>
        </div>
    </div>
</div>",1,,,,0,null,,719,,
PARLENET-C1-N2-AC1,PARLENET-C1-N2-AC1-OP3,"🎯 Choisir le registre langagier du message selon son besoin","<div class=""container"">
    <div class=""card border-danger text-center"">
        <div class=""card-body shadow-lg"">
            <p class=""card-text""><br /></p>
        </div>
    </div>
</div>",1,,,,0,null,,720,,
PARLENET-C1-N2,PARLENET-C1-N2-AC2,"🔨 Rechercher des informations et vérifier leur fiabilité en faisant des recoupements","<div class=""container"">
    <div class=""card border-warning text-center"">
        <div class=""card-body shadow-lg""><p class=""card-text""><br /></p>
        </div>
    </div>
</div>",1,,,,0,null,PARLENET-C1-N2,704,,
PARLENET-C1-N2-AC2,PARLENET-C1-N2-AC2-OP1,"🎯 Rechercher des informations manquantes selon le bon canal d'information et de communication","<div class=""container"">
    <div class=""card border-danger text-center"">
        <div class=""card-body shadow-lg"">
            <p class=""card-text""><br /></p>
        </div>
    </div>
</div>",1,,,,0,null,,721,,
PARLENET-C1-N2-AC2,PARLENET-C1-N2-AC2-OP2,"🎯 Comparer les informations entre elles, établir des liens et faire des déductions","<div class=""container"">
    <div class=""card border-danger text-center"">
        <div class=""card-body shadow-lg"">
            <p class=""card-text""><br /></p>
        </div>
    </div>
</div>",1,,,,0,null,,722,,
PARLENET-C1-N2,PARLENET-C1-N2-AC3,"🔨 Employer des stratégies de désescalade face à une situation de communication conflictuelle","<div class=""container"">
    <div class=""card border-warning text-center"">
        <div class=""card-body shadow-lg"">
            <p class=""card-text""><br /></p>
        </div>
    </div>
</div>",1,,,,0,null,,710,,
PARLENET-C1-N2-AC3,PARLENET-C1-N2-AC3-OP1,"🎯 Appliquer une communication neutre en évitant les sujets clivant et sources de conflits","<div class=""container"">
    <div class=""card border-danger text-center"">
        <div class=""card-body shadow-lg"">
            <p class=""card-text""><br /></p>
        </div>
    </div>
</div>",1,,,,0,null,,724,,
PARLENET-C1-N2-AC3,PARLENET-C1-N2-AC3-OP2,"🎯 Détecter les rapports de forces et choisir une communication affirmée mais bienveillante","<div class=""container"">
    <div class=""card border-danger text-center"">
        <div class=""card-body shadow-lg"">
            <p class=""card-text""><br /></p>
        </div>
    </div>
</div>",1,,,,0,null,,725,,
PARLENET-C1-N2-AC3,PARLENET-C1-N2-AC3-OP3,"🎯 Respecter la vie privée et l'intégrité des personnes lors du partage d'informations","<div class=""container"">
    <div class=""card border-danger text-center"">
        <div class=""card-body shadow-lg"">
            <p class=""card-text""><br /></p>
        </div>
    </div>
</div>",1,,,,0,null,,726,,
PARLENET-C1-N2-AC3,PARLENET-C1-N2-AC3-OP4,"🎯 Choisir le canal de communication le plus adapté en cas de situation conflictuelle ","<div class=""container"">
    <div class=""card border-danger text-center"">
        <div class=""card-body shadow-lg"">
            <p class=""card-text""><br /></p>
        </div>
    </div>
</div>",1,,,,0,null,,727,,
PARLENET-C1,PARLENET-C1-N3,"⭐⭐⭐ Prendre du recul sur sa démarche et l’ajuster",,1,,,,0,null,"PARLENET-C1,PARLENET-C1-N3-AC1,PARLENET-C1-N3-AC2",699,,
PARLENET-C1-N3,PARLENET-C1-N3-AC1,"🔨 Adapter sa communication à son interlocuteur selon la situation","<div class=""container"">
    <div class=""card border-warning text-center"">
        <div class=""card-body shadow-lg"">
            <p class=""card-text""><br /></p>
        </div>
    </div>
</div>",1,,,,0,null,PARLENET-C1-N3,705,,
PARLENET-C1-N3-AC1,PARLENET-C1-N3-AC1-OP1,"🎯 Adapter la longueur de son message à l'interlocuteur, à l'urgence et au contenu à faire passer","<div class=""container"">
    <div class=""card border-danger text-center"">
        <div class=""card-body shadow-lg"">
            <p class=""card-text""><br /></p>
        </div>
    </div>
</div>",1,,,,0,null,,728,,
PARLENET-C1-N3-AC1,PARLENET-C1-N3-AC1-OP2,"🎯 Prendre en compte la disponibilité de son interlocuteur et s'adapter","<div class=""container"">
    <div class=""card border-danger text-center"">
        <div class=""card-body shadow-lg"">
            <p class=""card-text""><br /></p>
        </div>
    </div>
</div>",1,,,,0,null,,729,,
PARLENET-C1-N3-AC1,PARLENET-C1-N3-AC1-OP3,"🎯 Faire preuve d'empathie et respecter la temporalité et le droit à la déconnexion de chacun","<div class=""container"">
    <div class=""card border-danger text-center"">
        <div class=""card-body shadow-lg"">
            <p class=""card-text""><br /></p>
        </div>
    </div>
</div>",1,,,,0,null,,730,,
PARLENET-C1-N3,PARLENET-C1-N3-AC2,"🔨 Classer et prioriser les outils de communication adaptés selon différentes situations","<div class=""container"">
    <div class=""card border-warning text-center"">
        <div class=""card-body shadow-lg"">
            <p class=""card-text""><br /></p>
        </div>
    </div>
</div>",1,,,,0,null,PARLENET-C1-N3,706,,
PARLENET-C1-N3-AC2,PARLENET-C1-N3-AC2-OP1,"🎯 Classer et prioriser les canaux d'informations selon ses besoins","<div class=""container"">
    <div class=""card border-danger text-center"">
        <div class=""card-body shadow-lg"">
            <p class=""card-text""><br /></p>
        </div>
    </div>
</div>",1,,,,0,null,,731,,
PARLENET-C1-N3-AC2,PARLENET-C1-N3-AC2-OP2,"🎯 Choisir le bon canal de diffusion selon son besoin","<div class=""container"">
    <div class=""card border-danger text-center"">
        <div class=""card-body shadow-lg"">
            <p class=""card-text""><br /></p>
        </div>
    </div>
</div>",1,,,,0,null,,732,,
PARLENET-C1-N3,PARLENET-C1-N3-AC3,"🔨 Anticiper les situations de communication potentiellement conflictuelles et adapter sa stratégie","<div class=""container"">
    <div class=""card border-warning text-center"">
        <div class=""card-body shadow-lg"">
            <p class=""card-text""><br /></p>
        </div>
    </div>
</div>",1,,,,0,null,,711,,
