Parent ID number,ID number,Short name,Description,Description format,Scale values,Scale configuration,Rule type (optional),Rule outcome (optional),Rule config (optional),Cross-referenced competency ID numbers,Exported ID (optional),Is framework,Taxonomy
MIPF-C1,MIPF-C1-L4,⭐⭐⭐⭐ L4,,,,,,,,,,,
MIPF-C2,MIPF-C2-L1,⭐ L1,,,,,,,,,,,
MIPF-C2,MIPF-C2-L2,⭐⭐ L2,,,,,,,,,,,
MIPF-C2,MIPF-C2-L3,⭐⭐⭐ L3,,,,,,,,,,,
MIPF-C2,MIPF-C2-L4,⭐⭐⭐⭐ L4,,,,,,,,,,,
MIPF-C3,MIPF-C3-L1,⭐ L1,,,,,,,,,,,
MIPF-C3,MIPF-C3-L2,⭐⭐ L2,,,,,,,,,,,
MIPF-C3,MIPF-C3-L3,⭐⭐⭐ L3,,,,,,,,,,,
MIPF-C3,MIPF-C3-L4,⭐⭐⭐⭐ L4,,,,,,,,,,,
MIPF-C4,MIPF-C4-L1,⭐ L1,,,,,,,,,,,
MIPF-C4,MIPF-C4-L2,⭐⭐ L2,,,,,,,,,,,
MIPF-C4,MIPF-C4-L3,⭐⭐⭐ L3,,,,,,,,,,,
MIPF-C4,MIPF-C4-L4,⭐⭐⭐⭐ L4,,,,,,,,,,,
MIPF-C5,MIPF-C5-L1,⭐ L1,,,,,,,,,,,
MIPF-C5,MIPF-C5-L2,⭐⭐ L2,,,,,,,,,,,
MIPF-C5,MIPF-C5-L3,⭐⭐⭐ L3,,,,,,,,,,,
MIPF-C5,MIPF-C5-L4,⭐⭐⭐⭐ L4,,,,,,,,,,,
MIPF-C6,MIPF-C6-L1,⭐ L1,,,,,,,,,,,
MIPF-C6,MIPF-C6-L2,⭐⭐ L2,,,,,,,,,,,
MIPF-C6,MIPF-C6-L3,⭐⭐⭐ L3,,,,,,,,,,,
MIPF-C6,MIPF-C6-L4,⭐⭐⭐⭐ L4,,,,,,,,,,,
MIPF-C1-L1,MIPF-C1-L1-P1,P1,,,,,,,,,,,
MIPF-C1-L1,MIPF-C1-L1-P2,P2,,,,,,,,,,,
MIPF-C1-L1,MIPF-C1-L1-P3,P3,,,,,,,,,,,
MIPF-C1-L1,MIPF-C1-L1-P4,P4,,,,,,,,,,,
MIPF-C1-L1,MIPF-C1-L1-P5,P5,,,,,,,,,,,
MIPF-C1-L1,MIPF-C1-L1-P6,P6,,,,,,,,,,,
MIPF-C1-L2,MIPF-C1-L2-P1,P1,,,,,,,,,,,
MIPF-C1-L2,MIPF-C1-L2-P2,P2,,,,,,,,,,,
MIPF-C1-L2,MIPF-C1-L2-P3,P3,,,,,,,,,,,
MIPF-C1-L2,MIPF-C1-L2-P4,P4,,,,,,,,,,,
MIPF-C1-L2,MIPF-C1-L2-P5,P5,,,,,,,,,,,
